LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-96.5843478,30.0460341,3210,Wagner Road,,ROUND TOP,,,,,9287346a3db20c01
-96.1659469,29.7688373,1315,Town Park Drive,,SEALY,,,,,be56579e70889e8d
-96.258266,29.9489537,119,South Holland Street,,BELLVILLE,,,,,aabd5938f5c568a8
-96.2780623,29.8366384,10190,Harris Ranch Lane,,SEALY,,,,,18ee0fade633a77e
-96.2694472,29.8405574,9179,Fm 1094,,SEALY,,,,,5cda20083cd04dd2
-96.3619088,29.864956,15579,Fm 1094,,CAT SPRING,,,,,2922a3a513845b39
-96.3551495,29.8559332,0,Schwanbeck Road (Off Of),,,,,,,7f2e7b5a11c59d24
-96.3492411,30.0620728,0,Tegeler Road,,,,,,,d50ff06d72065180
-96.144679,29.7007672,545,Burger Lane,,SEALY,,,,,3979291ebc10793b
-96.0632867,29.7855901,0,Bartlett Road,,SEALY,,,,,016a5775e0fbce22
-96.3475806,30.059439,0,Tegeler Road,,,,,,,f3be936beb66a058
-96.5056889,30.0631437,0,Janes Lane,,BRENHAM,,,,,dea69c2cedaaaca9
-96.508036,30.0631122,9804,Fm 2502 North,,BRENHAM,,,,,9dad875dfc1ab73f
-96.5069487,30.0633992,0,Janes Lane,,BRENHAM,,,,,df67c013bb81f8aa
-96.5083962,30.0624041,0,Janes Lane,,BRENHAM,,,,,068b943107b1ccc7
-96.0961816,29.7898492,1747,Manak Road,,,,,,,b5851c2e57757f8d
-96.0959549,29.7650596,11358,Fm 1458,,,,,,,1daaee71b2fcacd9
-96.3067938,30.0009342,5849,Highway 36 North,,,,,,,b4ac929978d94c7c
-96.305828,30.0020703,5897,Highway 36 North,,,,,,,ba05e60c17060bd1
-96.3055393,30.0016907,0,Highway 36 North,,,,,,,be27b6c118b89809
-96.0596142,29.6275007,6021,Gresham Street #2,,WALLIS,,,,,3be6b21f8b878a1a
-96.0596009,29.6273796,0,Gresham Saint (Off Of),,WALLIS,,,,,ac5bde974fb0321d
-96.0593538,29.6274327,0,Gresham Street,,WALLIS,,,,,5d1aff5712234cfd
-96.0594837,29.6274467,6021,Gresham Street #4,,WALLIS,,,,,f6bbd69da7151734
-96.0595421,29.627628,6021,Gresham Street #1,,WALLIS,,,,,0340cee345e18ecd
-96.0594135,29.6275732,6021,Gresham Street #3,,WALLIS,,,,,f720ae8de8b295e5
-96.3715131,30.0846582,12285,New Wehdem Road,,,,,,,f8a02d642472ab7f
-96.3732217,30.0847085,0,Sanders Road,,,,,,,77b74d4238f9cd74
-96.1611344,29.8513287,1036,South Fm 331,,,,,,,316d7853cf29d962
-96.158878,29.8521038,1226,Fm 331 South,,,,,,,e5ae2e5d3aa64eaa
-96.1509782,29.854709,2497,Grubbs Road,,SEALY,,,,,fc9870c4be08f801
-96.1579022,29.8493335,0,Peters San Felipe Road,,,,,,,3472d35be4121e80
-96.1618316,29.8499142,1036,South Fm 331,,,,,,,da8ec5fde18b98ae
-96.1558703,29.856762,1274,South Fm 331,,SEALY,,,,,58cbc633f0020db9
-96.1480267,29.8504782,0,Grubbs Road,,,,,,,e391b869d8bc07f3
-96.1499212,29.8487944,2352,Grubbs Road,,,,,,,9221f46d8918fd14
-96.1507336,29.8481896,2258,Grubbs Road,,,,,,,207c59ffd63b681a
-96.1516966,29.8472818,0,Grubbs Road,,,,,,,8d8b7a8344ca9e7f
-96.1531099,29.8457537,1962,Grubbs Road,,,,,,,9cee2d5fe11f67cf
-96.1513552,29.8462819,0,Grubbs Road,,SEALY,,,,,e97d1098bfb02749
-96.3462203,30.0122056,4004,Old Nelsonville  Road,,BELLVILLE,,,,,026bc16ecd3fd285
-96.0707067,29.6020849,0,Svoboda Road  (Off Of),,WALLIS,,,,,c0da41cdd9db1745
-96.0713622,29.6045977,12085,Svoboda Road,,WALLIS,,,,,f807a5a3572408cc
-96.0707368,29.6033358,0,Svoboda Road  (Off Of),,WALLIS,,,,,836f5c75c0e91b0f
-96.0719942,29.6026182,12127,Svoboda Road,,WALLIS,,,,,5c30030241439639
-96.071066,29.5981675,,,,,,,,,caacaec124903483
-96.0728925,29.6000903,,,,,,,,,7d954ae17950c71d
-96.0744403,29.6000786,,,,,,,,,6181f60fa153de04
-96.074731,29.6027598,0,Svoboda Road,,WALLIS,,,,,a3e5638dc08458f4
-96.0729949,29.6027829,12153,Svoboda Road,,WALLIS,,,,,3fed341ca0e6c8c0
-96.2010083,29.9892982,0,Highway 159 East,,,,,,,c434ef0370fe217e
-96.1971471,29.9906647,5217,Highway 159 East,,BELLVILLE,,,,,b579bcb229a203f9
-96.2001023,29.9903798,5025,Highway 159 East,,BELLVILLE,,,,,29d286abfcb84229
-96.1991381,29.9914546,5125,Highway 159 East,,BELLVILLE,,,,,ce028f1862fe3b28
-96.3095896,30.0496484,758,Lynn Road,, ,,,,,1056dcc303511dc4
-96.2810875,29.964412,2521,Highway 36 North,,BELLVILLE,,,,,b0d4f0f019c7460f
-96.4931549,29.8897006,0,,,,,,,,ccde36f833c6bd50
-96.494667,29.8899917,841,Fm 109,,NEW ULM,,,,,f3c06426cc62a707
-96.305145,29.9251417,3581,Kuykendall Road,,BELLVILLE,,,,,de8c4654da4f5012
-96.3025358,29.9253157,3459,Kuykendall Road,,,,,,,0969182df638e80e
-96.2920199,30.0884326,0,Reese Road,,,,,,,d77a99ac5fb4c4c3
-96.2921663,30.0942036,0,Woodley Road,,,,,,,7d56e5f2e6c487ed
-96.2715029,30.0917407,0,Jones Wilke Road (Off Of),,,,,,,c064dba8f7ab24ff
-96.2805623,30.0874549,0,Reese Road,,,,,,,e8273bf00fa4f728
-96.2741998,30.0907188,0,Reese Road (Off Of),,,,,,,b0c4cd3672a6c642
-96.2740791,30.0899583,0,Reese Road (Off Of),,,,,,,3d4fecdde93f8aa7
-96.2425155,30.0806996,6070,Gibbs Creek Road (Washing,,CHAPPELL HILL,,,,,57eea26fcbbe7724
